record_number,name_en,name_fr,document_types_en,document_types_fr
FIN EDD 422,Energy Efficiency,Efficacité énergétique,"Analyses, correspondence, emails, Memoranda, proposals, reports, studies.","Analyses, correspondance, courriels, études, mémoires, propositions, et rapports."
FIN ERP 405,Environment,Environnement,"Analyses, briefing notes, correspondence, environmental assessments, emails, research papers.","Analyses, correspondance, courriels, évaluations environnementales, notes de breffage et travaux de recherche."
FIN EDD 495,Fisheries and Oceans,Pêches et Océans,"Analyses, correspondence, emails, Memoranda, proposals and studies.","Analyses, correspondance, courriels études, memoranda, propositions et rapports."
FIN EDD 521,Forestry,Foresterie,"Analyses, briefing notes, correspondence, emails, research papers.","Analyses, correspondance, courriels, notes de breffage et travaux de recherche."
FIN EDD 435,Industrial Development,Développement industriel,"Analyses, briefing notes, correspondence, emails and research papers.","Analyses, correspondance, courriels, notes de breffage et travaux de recherche."
FIN EDD 525,Infrastructure,Infrastructure,"Analyses, correspondence, emails, proposals, Memoranda, reports, studies.","Analyses, correspondance, courriels, études, note de service, propositions et rapports."
FIN EDD 526,Marketplace Frameworks,Cadres régissant les marchés,"Analyses, briefing notes, correspondence, emails, research papers.","Analyses, correspondance, courriels, notes de breffage et travaux de recherche."
FIN ERP 410,Minerals,Minéraux,"Analyses, briefing notes, correspondence, research papers.","Analyses, et correspondance, courriels, notes de breffage et travaux de recherche."
FIN EDD 383,National Defence,Défense nationale,"Analyses, correspondence, emails, proposals, Memoranda, reports, studies.","Analyses, correspondance, courriels, études, mémoires, propositions et rapports."
FIN ERP 395,Nuclear Energy,Énergie nucléaire,"Analyses, briefing notes, correspondence, Memoranda, research papers.","Analyses, correspondance, courriels, mémoires, notes de breffage, et travaux de recherche."
FIN ERP 420,Oil and Gas,Pétrole et gaz,"Analyses, briefing notes, correspondence, emails, expert studies, research papers.","Analyses, correspondance, et études des experts, notes de breffage et travaux de recherche."
FIN EDD 450,Regional Analysis and Development,Analyses régionales et développement,"Analyses, briefing notes, correspondence, federal, provincial and municipal agreements, research papers, studies.","Accords fédéraux, provinciaux ou municipaux, analyses, correspondance, courriels, études, notes de breffage, et travaux de recherche."
FIN EDD 460,Science and Technology,Sciences et technologie,"Analyses, briefing notes, correspondence, emails, research papers.","Analyses, et correspondance, courriels, notes de breffage et travaux de recherche."
FIN EDD 461,Small and Medium Enterprises,Petites et moyennes entreprises,"Analyses, briefing notes, correspondence, emails, research papers.","Analyses, correspondance, courriels, notes de breffage, travaux de recherche."
FIN EDD 465,Telecommunications,Télécommunications,"Analyses, briefing notes, correspondence, emails, research papers technical papers.","Analyses et correspondance, courriels, notes de breffage et travaux de recherche."
FIN EDD 470,Transportation,Transports,"Analyses, correspondence, emails, Memoranda, Proposals, reports, studies.","Analyses, correspondance, courriels, études, note de service, propositions et rapports."
FIN SPD 001,Indigenous Policy,Politique sur les affaires autochtones,"Briefing notes, correspondence, emails, house cards, presentations.","correspondance, courriels, fiches parlementaires, notes d'information et présentations."
FIN FPR 235,"Conferences, Committees and Meetings","Conférences, comités et réunions","Agendas, backgrounders, briefing notes, correspondence, emails, presentations, speaking notes, summary notes of discussions and statements.","Correspondance, courriels, documents d'information, notes d'allocution, notes de breffage, notes sommaires de discussions et d'énoncés, ordres du jour et présentations."
FIN SPD 296,Income Security,Sécurité du revenu,"Annual reports, background/analytic papers, briefing notes, consultations, correspondence, decision records, draft legislation, draft regulations, emails, house cards, information papers, presentations, statistics.","Analyses, comptes rendus de décisions, consultations, correspondance, courriels, documents d'information et de référence, fiches parlementaires, lois et règlements (ébauche), notes d'information, présentations, rapport annuel et statistiques."
FIN SPD 301,Labour Markets/Employment/Learning,"Marchés du travail, l'emploi et l'apprentissage","Briefing notes, consultations, correspondence, draft legislation, emails, house cards, presentations.","Consultations, correspondance, courriels, ébauche de lois, fiches parlementaires, notes d'information, et présentations."
FIN ERP 415,Northern Development,Développement du Nord,"Analyses, briefing notes, correspondence, emails, research papers.","Analyses, correspondance, courriels, notes de breffage et travaux de recherche."
FIN FPR 215,Quebec Abatement,L'abattement d'impôt du Québec,"Background papers, briefing notes, correspondence, emails, evaluations, house cards, presentations, reports.",
FIN SPD 290,Social Policy,Politique sociale,"Background / analytic papers, briefing notes, correspondence, emails, house cards, presentations, statistics.","Analyses, correspondance, courriels, documents de référence, fiches parlementaires, notes d'information, présentations et statistiques."
FIN FID 195,Anti-money Laundering and Anti-terrorist Financing Issues,Lutte contre le blanchiment de capitaux et financement du terrorisme,"Agreements, briefing notes, correspondence, emails, house cards, Memoranda, minutes of meetings, presentations.","Accords, comptes rendus de réunion, courriels, fiches parlementaires, lettres, notes de service, note d'informations, présentations et rapports."
FIN DMD 155,Bank of Canada,Banque du Canada,"Memoranda Bank of Canada publications, correspondence, house cards, Memoranda.","Correspondance, courriels, fiches parlementaires, note de service et publication."
FIN FID 002,Consumer Affairs,Projets,"Agendas, briefing notes, contracts, correspondence, emails, house cards legislative and regulatory documents, Memoranda, minutes of meetings, procedures, policies, presentations, project plans, proposals, statements of work, statistical reports, surveys. .","Analyses, correspondance, courriels, études d'actifs spécifiques, évaluations du marché, notes de breffage et travaux de recherche."
FIN FID 155,Financial Services Trade and Relations,Libre échange des services financiers,"Agendas, agreements, contracts, correspondence, emails, evaluation criteria, house cards, negotiating instructions, Memoranda, minutes of meetings, policies, proposals, procedures, project plans, statistical reports, statements of work, surveys.",
